name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Superposition Lens,khedoomlens,3,,KHM,offense,Weapons,15000,,,,5,10,15,20,kheTechMod.combat.hullmods.DoomLaser,"A bizarre quantum superposition system that massively amplifies beam weapons, while putting a massive strain on other weapon systems on the ship. Multiplies beam weapon damage by %s, flux cost by %s, range by %s, and turn rate by %s, while multiplying all weapon RoF by %s.
Also apparently can toast bread to perfection, somehow.","Beam damage, cost, turn speed up, range down. All RoF down.",,graphics/hullmods/temporal_shell.png
,,,,,,,,,,,,,,,,,,,
Inverted Phase Anchor,khe_phase_anchor,,,KHM,"req_spaceport, phase, phase_brawler",Phase,300000,,TRUE,,10,20,30,50,kheTechMod.combat.hullmods.KhePhaseAnchor,"Reduces the phase cloak's activation cost to %s, but multiplies cloak upkeep cost by %s.
When suffering critical damage that would otherwise destroy or disable the ship, able to initiate an emergency dive deep into p-space. The ship counts as retreated and will emerge into normal space when combat is over, suffering an additional penalty to combat readiness equal to %s its deployment cost. The ship must have enough combat readiness to cover this cost to initiate the dive.
This version of the phase anchor is incompatible with the normal version, and only works on automated ships.
The installation notes also say that it is somehow incompatible with doing the fishstick, but installation somehow requires doing so.","Emergency dive maneuver. Remove cloak activation cost, increase upkeep cost.",,graphics/hullmods/phase_anchor.png
Phase-Stasis Coils Model O,khephasestasiso,,,KHM,phase,Phase,300000,,,,5,10,15,20,kheTechMod.combat.hullmods.PhaseStasisCoilsO,"An impossible to replicate version of phase-stasis coils which causes a ship to become more firmly anchored in linear time while phased, while also largely neutralizing the speed penalty at high flux. During phase much of the ship is accelerated as if it were under timeflow, but not below normal time.
Crew boarding the ship have reported hearing phantom singing and experiencing crippling migraines.","Phase timeflow removed abstractly, upkeep increased. ",,graphics/hullmods/phase_coils_experimental.png
AI Core Fighter Uplink,kheinvertedomegafractalpilot,3,,KHM,"special, req_spaceport","Requires Dock, Fighters",30000,,,,5,10,15,20,kheTechMod.combat.hullmods.InvertedOmegaFighters,"The ship’s AI Core is extended to fighters before combat. Increases deployment cost by %s.
No, the fighter cores cannot make coffee. They can, however, make toast.",Copies AI core captain to fighters.,,graphics/hullmods/automated.png
,,,,,,,,,,,,,,,,,,,
Harmonic Weapon Integration: Ballistic,khereplexerballistic,3,,KHM,"offense, req_spaceport","Requires Dock, Weapons",30000,,,,0,0,0,0,kheTechMod.combat.hullmods.WeaponReplexerBallistic,"This unstable rework of weapon systems drastically changes how they interface with a ship, but multiplies overload duration by %s. For all %s weapons: ordnance point costs reduced by %s, flux costs increased, or for non-flux weapons flux dissipation penalized, per base ordinance point of each weapon. Tech officer notes: %s. (Weapon Group UI doesn’t reflect cost changes.)
It also causes occasional harmless static shocks.",Massive OP reduction. Penalty multiplier to flux cost by base OP.,,graphics/hullmods/coherer.png
Harmonic Weapon Integration: Energy,khereplexerenergy,3,,KHM,"offense, req_spaceport","Requires Dock, Weapons",30000,,,,0,0,0,0,kheTechMod.combat.hullmods.WeaponReplexerEnergy,"This unstable rework of weapon systems drastically changes how they interface with a ship, but multiplies overload duration by %s. For all %s weapons: ordnance point costs reduced by %s, flux costs increased, or for non-flux weapons flux dissipation penalized, per base ordinance point of each weapon. Tech officer notes: %s. (Weapon Group UI doesn’t reflect cost changes.)
It also causes occasional harmless static shocks.",Massive OP reduction. Penalty multiplier to flux cost by base OP.,,graphics/hullmods/coherer.png
Harmonic Weapon Integration: Missile,khereplexermissile,3,,KHM,"offense, req_spaceport","Requires Dock, Weapons",30000,,,,0,0,0,0,kheTechMod.combat.hullmods.WeaponReplexerMissile,"This unstable rework of weapon systems drastically changes how they interface with a ship, but multiplies overload duration by %s. For all %s weapons: ordnance point costs reduced by %s, flux costs increased, or for non-flux weapons flux dissipation penalized, per base ordinance point of each weapon. Tech officer notes: %s. (Weapon Group UI doesn’t reflect cost changes.)
It also causes occasional harmless static shocks.",Massive OP reduction. Penalty multiplier to flux cost by base OP.,,graphics/hullmods/coherer.png
,,,,,,,,,,,,,,,,,,,
Artillery Module: Ballistic,kheartillerymoduleballistic,3,,KHM,"offense, req_spaceport","Requires Dock, Weapons",30000,,,,0,0,0,0,kheTechMod.combat.hullmods.WeaponArtilleryModuleBallistic,"A system designed to amplify the range of %s sized %s weapons substantially. Increases range of affected weapons by %s, but increases their ordnance point costs by %s. Any systems that reduce ordnance point costs to zero will cause all affected weapons to strain the ship’s flux systems: weapon flux costs are increased, or flux dissipation is decreased. Tech officer notes: %s.
Next crewmember to fire anything other than ordnance out of the launchers will be the next projectile. Yes, Kevin, this means you if you’re reading this.",Massive range boost. Large OP cost increase.,,graphics/hullmods/ballistic_rangefinder.png
Artillery Module: Energy,kheartillerymoduleenergy,3,,KHM,"offense, req_spaceport","Requires Dock, Weapons",30000,,,,0,0,0,0,kheTechMod.combat.hullmods.WeaponArtilleryModuleEnergy,"A system designed to amplify the range of %s sized %s weapons substantially. Increases range of affected weapons by %s, but increases their ordnance point costs by %s. Any systems that reduce ordnance point costs to zero will cause all affected weapons to strain the ship’s flux systems: weapon flux costs are increased, or flux dissipation is decreased. Tech officer notes: %s.
Next crewmember to fire anything other than ordnance out of the launchers will be the next projectile. Yes, Kevin, this means you if you’re reading this.",Massive range boost. Large OP cost increase.,,graphics/hullmods/ballistic_rangefinder.png
Artillery Module: Missile,kheartillerymodulemissile,3,,KHM,"offense, req_spaceport","Requires Dock, Weapons",30000,,,,0,0,0,0,kheTechMod.combat.hullmods.WeaponArtilleryModuleMissile,"A system designed to amplify the range of %s sized %s weapons substantially. Increases range of affected weapons by %s, but increases their ordnance point costs by %s. Any systems that reduce ordnance point costs to zero will cause all affected weapons to strain the ship’s flux systems: weapon flux costs are increased, or flux dissipation is decreased. Tech officer notes: %s.
Next crewmember to fire anything other than ordnance out of the launchers will be the next projectile. Yes, Kevin, this means you if you’re reading this.",Massive range boost. Large OP cost increase.,,graphics/hullmods/ballistic_rangefinder.png
,,,,,,,,,,,,,,,,,,,
Unstable Artillery Module: Ballistic,kheartillerymoduleballisticu,3,,KHM,"offense, req_spaceport","Requires Dock, Weapons",30000,,,,0,0,0,0,kheTechMod.combat.hullmods.WeaponArtilleryModuleBallisticUnstable,"A system designed to amplify the range of %s sized %s weapons substantially. Increases range of affected weapons by %s, but increases their ordnance point costs by %s. Also, the ship overloads when surpassing %s flux.  Any systems that reduce ordnance point costs to zero will cause all affected weapons to strain the ship’s flux systems: weapon flux costs are increased, or flux dissipation is decreased. Tech officer notes: %s.
Do not touch the coils.",Massive range boost. OP cost increase. Overload at 80% flux.,,graphics/hullmods/ballistic_rangefinder.png
Unstable Artillery Module: Energy,kheartillerymoduleenergyu,3,,KHM,"offense, req_spaceport","Requires Dock, Weapons",30000,,,,0,0,0,0,kheTechMod.combat.hullmods.WeaponArtilleryModuleEnergyUnstable,"A system designed to amplify the range of %s sized %s weapons substantially. Increases range of affected weapons by %s, but increases their ordnance point costs by %s. Also, the ship overloads when surpassing %s flux.  Any systems that reduce ordnance point costs to zero will cause all affected weapons to strain the ship’s flux systems: weapon flux costs are increased, or flux dissipation is decreased. Tech officer notes: %s.
Do not touch the coils.",Massive range boost. OP cost increase. Overload at 80% flux.,,graphics/hullmods/ballistic_rangefinder.png
Unstable Artillery Module: Missile,kheartillerymodulemissileu,3,,KHM,"offense, req_spaceport","Requires Dock, Weapons",30000,,,,0,0,0,0,kheTechMod.combat.hullmods.WeaponArtilleryModuleMissileUnstable,"A system designed to amplify the range of %s sized %s weapons substantially. Increases range of affected weapons by %s, but increases their ordnance point costs by %s. Also, the ship overloads when surpassing %s flux.  Any systems that reduce ordnance point costs to zero will cause all affected weapons to strain the ship’s flux systems: weapon flux costs are increased, or flux dissipation is decreased. Tech officer notes: %s.
Do not touch the coils.",Massive range boost. OP cost increase. Overload at 80% flux.,,graphics/hullmods/ballistic_rangefinder.png
,,,,,,,,,,,,,,,,,,,
Fighter Defense Extender,khefighterdefenseextender,1,,KHM,"special, req_spaceport","Requires Dock, Fighters",15000,,,,5,10,15,20,kheTechMod.combat.hullmods.FighterDefenseExtender,"For shielded fighters: Increases shield arc and turn rate by %s. For phase fighters: decreases phase activation and upkeep cost by %s. For fighters that are neither, multiplies hull and armor damage taken by %s.
Somehow, it still does not noticeably increase pilot survival rates.",enhances fighter phase/shield,,graphics/hullmods/accelerated_shields.png
Luddic Torch,kheluddictorch,1,,KHM,"special, req_spaceport","Requires Dock, Special",15000,,,,5,10,15,20,kheTechMod.combat.hullmods.LuddicTorch,"Increases explosion radius by %s, increasing by %s per D-Mod. Increases explosion damage by %s, increasing by %s per D-Mod. Ship takes %s hull damage per second until at 1 hull remaining. Ship is nearly guaranteed to be recoverable when destroyed, and nearly guaranteed to gain a D-Mod.
Using the ship as a light source in space is ill-advised.",,,graphics/hullmods/erratic_injector.png
Luddic Smite,kheluddicsmite,2,,KHM,"special, engines, req_spaceport","Requires Dock, Special, Engines",25000,,,,5,10,15,20,kheTechMod.combat.hullmods.LuddicSmite,"Increases explosion radius by %s, increasing by %s per D-Mod. Increases explosion damage by %s, increasing by %s per D-Mod. Ship takes %s hull damage per second until at 1 hull remaining. Ship is nearly guaranteed to be recoverable when destroyed, and nearly guaranteed to gain a D-Mod.
This hullmod is the Luddic Torch’s bigger, deadlier brother. Its extensive overhaul causes many forms of hull repair to simply cease functioning. It also amplifies maximum turn rate and turn acceleration by %s, and ship speed and acceleration by %s, the closer it is to destruction.
Using the ship as a light source in space is ill-advised.",,,graphics/hullmods/erratic_injector.png
,,,,,,,,,,,,,,,,,,,
The Otto Shield,kheshieldhack,1,,KHM,"shields, defensive, merc",Shields,5000,,,,5,10,15,20,kheTechMod.combat.hullmods.ShieldHack,"A low level AI system that overrides shield control systems, multiplying shield unfold rate by %s, and turn rate by %s, but forcing the shields to remain active until the ship overloads or vents.
There is a name plastered over every page of the design documents. The last page has a footnote: Yes, it’s me, Otto! I did it!","Double shield unfold and turn, shields forced on.",,graphics/hullmods/accelerated_shields.png
Otto Phase Coils,khephasehack,2,,KHM,"phase, defensive, req_spaceport","Phase, Requires Dock",15000,,,,5,10,15,20,kheTechMod.combat.hullmods.PhaseHack,"A substantial rework of phase and flux systems that completely negates phase system cooldown and activation cost, and flux dissipation and venting, while forcing the phase coils to remain active. Instead of the normal flux upkeep, the ship gains flux equal to %s of its flux capacity per second.
Overload duration is multiplied by %s, but overloading completely dissipates flux. Also enables the Zero Flux boost at any flux level. Increases weapon malfunction chance by %s and OP costs by %s, multiplies crew loss by %s, and makes D-Mods %s more damning.
There is a name plastered over every page of the design documents. The last page has a footnote: Yes, it’s me, Otto! I did it!","Disables weapons, forces phase on, replaces flux system",,graphics/hullmods/accelerated_shields.png
Specialized Regenerative Hullmatrix,khewarpedomegaregen,,,KHM,"defensive, req_spaceport","Requires Dock, Defenses",300000,,TRUE,,5,10,15,20,kheTechMod.combat.hullmods.WarpedHull,"This ship’s internal machinery rejects nearly all human presence, multiplying minimum and maximum crew by %s. If captained by an officer, the rebellious systems increase fuel and supply costs per month and sensor profile by %s. It will also automatically repair any lasting damage. The ship will almost always be recoverable.","immune to dmods, cannot be crewed",,graphics/hullmods/automated.png
,,,,,,,,,,,,,,,,,,,
Phase Resonance Shielding,khewarpedomegafluff,,,,,,0,,TRUE,,0,0,0,0,kheTechMod.combat.hullmods.KheEmptyHullmod,"This ship’s core housing has specialized harmonic shielding that allows AI cores to exist for extended periods of time in phase-space. Any attempts to study the shielding have resulted in the offender being teleported to a random place in the ship, devoid of clothing.",,,
